id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p, n_iB
140, 281129.119, 0.449, 0.000, 2974.76, 0.0421, 281129.119, 272, 809136, 18446744073709113512, 166511.052, 114419.491, 198.576, 0.592, 0.394, 0
141, 281061.161, 0.425, 0.000, 3731.85, 0.0399, 281061.161, 241, 899375, 18446744073709067576, 176570.470, 104292.115, 198.576, 0.628, 0.409, 0
142, 281095.293, 0.454, 0.000, 2988.27, 0.0468, 281095.293, 267, 797867, 18446744073709120592, 166715.517, 114181.200, 198.576, 0.593, 0.381, 0
143, 281163.069, 0.429, 0.000, 3500.83, 0.0424, 281163.069, 249, 871706, 18446744073709081744, 172541.997, 108422.496, 198.576, 0.614, 0.396, 0
144, 281146.590, 0.446, 0.000, 3139.45, 0.0428, 281146.590, 263, 825676, 18446744073709106672, 169904.315, 111043.699, 198.576, 0.604, 0.395, 0
145, 281093.359, 0.447, 0.000, 3232.35, 0.0571, 281093.359, 255, 824250, 18446744073709105472, 169096.495, 111798.288, 198.576, 0.602, 0.353, 0
146, 281094.420, 0.435, 0.000, 3110.49, 0.0440, 281094.420, 269, 836721, 18446744073709100744, 167707.524, 113188.320, 198.576, 0.597, 0.384, 0
147, 281135.053, 0.414, 0.000, 3890.72, 0.0527, 281135.053, 237, 922101, 18446744073709054064, 175850.058, 105086.419, 198.576, 0.626, 0.361, 0
148, 281100.247, 0.448, 0.000, 3126.30, 0.0422, 281100.247, 263, 822216, 18446744073709108480, 169699.111, 111202.560, 198.576, 0.604, 0.397, 0
149, 281115.948, 0.449, 0.000, 3062.84, 0.0485, 281115.948, 267, 817777, 18446744073709110936, 169476.521, 111440.851, 198.576, 0.603, 0.376, 0
150, 281168.187, 0.451, 0.000, 3038.73, 0.0484, 281168.187, 265, 805264, 18446744073709116024, 166708.980, 114260.630, 198.576, 0.593, 0.376, 0
151, 281183.149, 0.438, 0.000, 3135.66, 0.0481, 281183.149, 265, 830949, 18446744073709103968, 167955.114, 113029.459, 198.576, 0.597, 0.373, 0
